iter	Passed	Remaining
931	3628	264
932	3632	260
933	3636	256
934	3640	253
935	3643	249
936	3647	245
937	3651	241
938	3656	237
939	3659	233
940	3663	229
941	3666	225
942	3670	221
943	3674	217
944	3677	214
945	3680	210
946	3684	206
947	3688	202
948	3691	198
949	3695	194
950	3698	190
951	3702	186
952	3705	182
953	3709	178
954	3712	174
955	3717	171
956	3720	167
957	3724	163
958	3729	159
959	3733	155
960	3737	151
961	3741	147
962	3745	143
963	3749	140
964	3753	136
965	3757	132
966	3761	128
967	3765	124
968	3769	120
969	3773	116
970	3776	112
971	3780	108
972	3783	105
973	3786	101
974	3790	97
975	3794	93
976	3798	89
977	3801	85
978	3805	81
979	3808	77
980	3812	73
981	3815	69
982	3818	66
983	3822	62
984	3826	58
985	3830	54
986	3833	50
987	3837	46
988	3841	42
989	3844	38
990	3848	34
991	3852	31
992	3856	27
993	3860	23
994	3863	19
995	3870	15
996	3874	11
997	3879	7
998	3884	3
999	3888	0
